Type,Hours
Aviva Follow-up,1.5
Aviva Initial,0.75
AXA Follow-up,18.75
AXA Initial,5.25
Bupa Follow-up,34.5
Bupa Initial,5.25
Follow up,100.5
Initial Appointment,34.5
Vitality Appointment,0.75
WPA Follow-up,2.25
WPA Initial,0.75
